CNES;CODUFMUN;REGSAUDE;MICR_REG;DISTRSAN;DISTRADM;TPGESTAO;PF_PJ;CPF_CNPJ;NIV_DEP;CNPJ_MAN;ESFERA_A;ATIVIDAD;RETENCAO;NATUREZA;CLIENTEL;TP_UNID;TURNO_AT;NIV_HIER;TERCEIRO;TP_LEITO;CODLEITO;QT_EXIST;QT_CONTR;QT_SUS;QT_NSUS;COMPETEN;NAT_JUR;ARQUIVO_ORIGEM;UF_REF;MES_REF;ANO_REF
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;1;03;12;0;6;6;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;1;06;1;0;1;0;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;3;75;10;0;8;2;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;5;68;1;0;1;0;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;3;66;1;0;0;1;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;5;45;11;0;7;4;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;4;43;8;0;4;4;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;2;33;63;0;24;39;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;2;31;2;0;2;0;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;1;13;1;0;1;0;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;1;11;1;0;1;0;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;7;07;1;0;0;1;202401;3999;LTSP2401.csv;SP;01;2024
2077647;350010;0209;;;;M;3;53221255006777;1;00000000000000;;04;;;03;05;06;;;4;10;9;0;6;3;202401;3999;LTSP2401.csv;SP;01;2024
2082446;350010;0209;;;;M;3;43007814000160;1;00000000000000;;04;;;02;07;06;;;6;47;85;0;85;0;202401;3999;LTSP2401.csv;SP;01;2024
2956098;350030;;;;;M;3;00000000000000;3;46425229000179;;04;;;03;05;06;;;2;33;24;0;24;0;202401;1244;LTSP2401.csv;SP;01;2024
