cod_ibge_7d;cod_datasus_6d;municipio;populacao_2024
3500105;350010;Adamantina;356420
3500204;350020;Adolfo;44780
3500303;350030;Aguaí;328880
3500402;350040;Águas da Prata;74700
3500501;350050;Águas de Lindóia;182450
3500550;350055;Águas de Santa Bárbara;74070
3500600;350060;Águas de São Pedro;28290
3500709;350070;Agudos;388790
3500758;350075;Alambari;63300
3500808;350080;Alfredo Marcondes;45560
3500907;350090;Altair;34790
3501004;350100;Altinópolis;171560
3501103;350110;Alto Alegre;38830
3501152;350115;Alumínio;175910
3501202;350120;Álvares Florence;39780
3501301;350130;Álvares Machado;282500
3501400;350140;Álvaro de Carvalho;48960
3501509;350150;Alvinlândia;29230
3501608;350160;Americana;2466550
3501707;350170;Américo Brasiliense;337570
3501806;350180;Américo de Campos;59750
3501905;350190;Amparo;697170
3502002;350200;Analândia;46840
3502101;350210;Andradina;614730
3502200;350220;Angatuba;245120
3502309;350230;Anhembi;57660
3502408;350240;Anhumas;41080
3502507;350250;Aparecida;332230
3502606;350260;Aparecida d'Oeste;41240
3502705;350270;Apiaí;248860
3502754;350275;Araçariguama;221680
3502804;350280;Araçatuba;2077750
3502903;350290;Araçoiaba da Serra;336560
3503000;350300;Aramina;55260
3503109;350310;Arandu;70500
3503158;350315;Arapeí;23550
3503208;350320;Araraquara;2523180
3503307;350330;Araras;1353310
3503356;350335;Arco-Íris;20850
3503406;350340;Arealva;82800
3503505;350350;Areias;36250
3503604;350360;Areiópolis;102570
3503703;350370;Ariranha;76530
3503802;350380;Artur Nogueira;531570
3503901;350390;Arujá;899430
3503950;350395;Aspásia;18730
3504008;350400;Assis;1046420
3504107;350410;Atibaia;1660430
3504206;350420;Auriflama;138730
3504305;350430;Avaí;45190
3504404;350440;Avanhandava;114380
3504503;350450;Avaré;960980
3504602;350460;Bady Bassitt;289090
3504701;350470;Balbinos;39630
3504800;350480;Bálsamo;98540
3504909;350490;Bananal;101090
3505005;350500;Barão de Antonina;36180
3505104;350510;Barbosa;56590
3505203;350520;Bariri;324050
3505302;350530;Barra Bonita;351590
3505351;350535;Barra do Chapéu;52560
3505401;350540;Barra do Turvo;69220
3505500;350550;Barretos;1266000
3505609;350560;Barrinha;331810
3505708;350570;Barueri;3303390
3505807;350580;Bastos;219000
3505906;350590;Batatais;598730
3506003;350600;Bauru;3917400
3506102;350610;Bebedouro;782100
3506201;350620;Bento de Abreu;26420
3506300;350630;Bernardino de Campos;118520
3506359;350635;Bertioga;668730
3506409;350640;Bilac;74550
3506508;350650;Birigui;1229880
3506607;350660;Biritiba Mirim;305260
3506706;350670;Boa Esperança do Sul;131350
3506805;350680;Bocaina;114670
3506904;350690;Bofete;106880
3507001;350700;Boituva;634150
3507100;350710;Bom Jesus dos Perdões;225010
3507159;350715;Bom Sucesso de Itararé;36100
3507209;350720;Borá;9280
3507308;350730;Boracéia;48230
3507407;350740;Borborema;144150
3507456;350745;Borebi;27870
3507506;350750;Botucatu;1504420
3507605;350760;Bragança Paulista;1846340
3507704;350770;Braúna;54660
3507753;350775;Brejo Alegre;26050
3507803;350780;Brodowski;261670
3507902;350790;Brotas;244230
3508009;350800;Buri;206740
3508108;350810;Buritama;175970
3508207;350820;Buritizal;44470
3508306;350830;Cabrália Paulista;43620
3508405;350840;Cabreúva;484730
3508504;350850;Caçapava;996780
3508603;350860;Cachoeira Paulista;324820
3508702;350870;Caconde;172660
3508801;350880;Cafelândia;169050
3508900;350890;Caiabu;37450
3509007;350900;Caieiras;982570
3509106;350910;Caiuá;55850
3509205;350920;Cajamar;973630
3509254;350925;Cajati;292570
3509304;350930;Cajobi;92320
3509403;350940;Cajuru;242170
3509452;350945;Campina do Monte Alegre;60770
3509502;350950;Campinas;11859770
3509601;350960;Campo Limpo Paulista;796630
3509700;350970;Campos do Jordão;479830
3509809;350980;Campos Novos Paulista;49910
3509908;350990;Cananéia;124890
3509957;350995;Canas;50490
3510005;351000;Cândido Mota;301720
3510104;351010;Cândido Rodrigues;29510
3510153;351015;Canitar;65240
3510203;351020;Capão Bonito;474030
3510302;351030;Capela do Alto;235970
3510401;351040;Capivari;513180
3510500;351050;Caraguatatuba;1410840
3510609;351060;Carapicuíba;3984620
3510708;351070;Cardoso;114910
3510807;351080;Casa Branca;287860
3510906;351090;Cássia dos Coqueiros;28550
3511003;351100;Castilho;204180
3511102;351110;Catanduva;1191720
3511201;351120;Catiguá;71050
3511300;351130;Cedral;131600
3511409;351140;Cerqueira César;220760
3511508;351150;Cerquilho;462170
3511607;351160;Cesário Lange;195880
3511706;351170;Charqueada;157980
3511904;351190;Clementina;70870
3512001;351200;Colina;188420
3512100;351210;Colômbia;67810
3512209;351220;Conchal;290340
3512308;351230;Conchas;153810
3512407;351240;Cordeirópolis;251300
3512506;351250;Coroados;54980
3512605;351260;Coronel Macedo;42950
3512704;351270;Corumbataí;42850
3512803;351280;Cosmópolis;612040
3512902;351290;Cosmorama;89680
3513009;351300;Cotia;2870040
3513108;351310;Cravinhos;342520
3513207;351320;Cristais Paulista;95430
3513306;351330;Cruzália;21290
3513405;351340;Cruzeiro;765130
3513504;351350;Cubatão;1150820
3513603;351360;Cunha;224560
3513702;351370;Descalvado;326220
3513801;351380;Diadema;4041180
3513850;351385;Dirce Reis;16410
3513900;351390;Divinolândia;113140
3514007;351400;Dobrada;89580
3514106;351410;Dois Córregos;248550
3514205;351420;Dolcinópolis;22500
3514304;351430;Dourado;81860
3514403;351440;Dracena;466640
3514502;351450;Duartina;125290
3514601;351460;Dumont;97190
3514700;351470;Echaporã;62950
3514809;351480;Eldorado;131620
3514908;351490;Elias Fausto;181030
3514924;351492;Elisiário;31890
3514957;351495;Embaúba;23530
3515004;351500;Embu das Artes;2593230
3515103;351510;Embu-Guaçu;688050
3515129;351512;Emilianópolis;30620
3515152;351515;Engenheiro Coelho;201390
3515186;351518;Espírito Santo do Pinhal;406810
3515194;351519;Espírito Santo do Turvo;42170
3515202;351520;Estrela d'Oeste;96550
3515301;351530;Estrela do Norte;27490
3515350;351535;Euclides da Cunha Paulista;79280
3515400;351540;Fartura;169840
3515509;351550;Fernandópolis;732860
3515608;351560;Fernando Prestes;60660
3515657;351565;Fernão;16890
3515707;351570;Ferraz de Vasconcelos;1856220
3515806;351580;Flora Rica;14920
3515905;351590;Floreal;27560
3516002;351600;Flórida Paulista;131710
3516101;351610;Florínea;39870
3516200;351620;Franca;3643310
3516309;351630;Francisco Morato;1711070
3516408;351640;Franco da Rocha;1497860
3516507;351650;Gabriel Monteiro;28110
3516606;351660;Gália;64350
3516705;351670;Garça;431150
3516804;351680;Gastão Vidigal;32350
3516853;351685;Gavião Peixoto;47970
3516903;351690;General Salgado;104490
3517000;351700;Getulina;103550
3517109;351710;Glicério;41730
3517208;351720;Guaiçara;114590
3517307;351730;Guaimbê;56060
3517406;351740;Guaíra;404240
3517505;351750;Guapiaçu;223160
3517604;351760;Guapiara;172560
3517703;351770;Guará;187900
3517802;351780;Guaraçaí;74860
3517901;351790;Guaraci;105420
3518008;351800;Guarani d'Oeste;19990
3518107;351810;Guarantã;65310
3518206;351820;Guararapes;318720
3518305;351830;Guararema;324360
3518404;351840;Guaratinguetá;1217100
3518503;351850;Guareí;152680
3518602;351860;Guariba;386090
3518701;351870;Guarujá;2949730
3518800;351880;Guarulhos;13453640
3518859;351885;Guatapará;74620
3518909;351890;Guzolândia;42760
3519006;351900;Herculândia;93020
3519055;351905;Holambra;155960
3519071;351907;Hortolândia;2473310
3519105;351910;Iacanga;106330
3519204;351920;Iacri;62070
3519253;351925;Iaras;82570
3519303;351930;Ibaté;331100
3519402;351940;Ibirá;119340
3519501;351950;Ibirarema;64610
3519600;351960;Ibitinga;619080
3519709;351970;Ibiúna;776510
3519808;351980;Icém;79690
3519907;351990;Iepê;77390
3520004;352000;Igaraçu do Tietê;234300
3520103;352010;Igarapava;267550
3520202;352020;Igaratá;109040
3520301;352030;Iguape;298810
3520400;352040;Ilhabela;363290
3520426;352042;Ilha Comprida;139550
3520442;352044;Ilha Solteira;262400
3520509;352050;Indaiatuba;2677960
3520608;352060;Indiana;51910
3520707;352070;Indiaporã;41090
3520806;352080;Inúbia Paulista;36710
3520905;352090;Ipaussu;139330
3521002;352100;Iperó;379990
3521101;352110;Ipeúna;69990
3521150;352115;Ipiguá;70370
3521200;352120;Iporanga;40910
3521309;352130;Ipuã;146910
3521408;352140;Iracemápolis;224350
3521507;352150;Irapuã;69460
